"","x"
"1","[Delivered at the Batasang Pambansa, Quezon City, on July 28, 2008]"
"2","Thank you, Speaker Nograles. Senate President Villar. Senators and Representatives. Vice President de Castro, President Ramos, Chief Justice Puno, members of the diplomatic corps, ladies and gentlemen:"
"3","I address you today at a crucial moment in world history."
"4","Just a few months ago, we ended 2007 with the strongest economic growth in a generation. Inflation was low, the peso strong, and a million new jobs were created. We were all looking to a better, brighter future. [Applause]"
"5","Because tough choices were made, kumikilos na ang bayan sa wakas. Malapit na sana tayo sa pagbalanse ng budget. We were retiring debts in great amounts, reducing the drag on our country’s development, habang namumuhunan sa taong bayan. [Applause]"
"6","Biglang-bigla, nabaligtad ang ekonomiya ng mundo. Ang pagtalon ng presyo ng langis at pagkain ay nagbunsod ng pandaigdigan krisis, the worst since the Great Depression and the end of World War II. Some blame speculators moving billions of dollars from subprime mortgages to commodities like fuel and food. Others point of the very real surge in demand as millions of Chinese and Indians move up to the middle class."
"7","Whatever the reasons, we are on a roller coaster ride of oil price hikes, high food prices, and looming economic recession in the US and other markets. Uncertainty has moved like a terrible tsunami around the globe, wiping away gains, erasing progress."
"8","This is a complex time that defies simple and easy solutions. For starters, it is hard to identify villains, unlike in the 1997 financial crisis. Everyone seems to be a victim, rich countries and poor, though certainly some can take more punishment than others."
"9","To address these global challenges, we must go on building and buttressing bridges to allies around the world: to bring in the rice to feed our people; investments to create jobs; and to keep the peace and maintain stability in our country and the rest of the world. Yet even as we reach out to those who need, and who may need us, we strive for greater self-reliance. [Applause]"
"10","Because tough choices were made, the global crisis did not catch us helpless and unprepared. Through foresight, grit, and political will, we built a shield around our country that has slowed down and somewhat softened the worst effects of the global crisis. [Applause] We have the money to care for our people and pay for food when there are shortages; for fuel despite price spikes. [Applause]"
"11","Neither we nor anyone else in the world expected this day to come so soon but we prepared for it. For the guts not to flinch in the face of tough choices, I thank God. For the wisdom to recognize how needed you are, I thank you Congress. [Applause] For footing the bill, I thank the taxpayers. [Applause]"
"12","The result has been, on the one hand, ito ang nakasalba sa bayan; on the other, more unpopularity for myself in the opinion polls. Yet even unfriendly polls show self-rated poverty down to its 20-year low in 2007. [Applause]"
"13","My responsibility as President is to take care, to solve the problems we are facing now, and to provide a vision and direction for how our nation should advance in the future."
"14","Many in this great hall live privileged lives and exert great influence in public affairs. I am accessible to you, but I spend time every day with the underprivileged and under represented who cannot get a grip on their lives in the daily, all-consuming struggle to make ends meet."
"15","Nag-aalala ako para sa nakakaawang maybahay na pasan ang pananagutan para sa buong pamilya. Nag-aalala ako para sa magsasakang nasa unang hanay ng pambansang produksyon ng pagkain ngunit nagsisikap pakanin ang pamilya. I care for hardworking students soon to graduate and wanting to see hope of good job and a career prospect here at home."
"16","Nag-aalala ako para sa 41-year old na padre de pamilya na di araw-araw ang trabaho, at nag-aabala sa asawa at tatlong anak, at dapat bigyan ng higit pang pagkakakitaan at dangal. I care for our teachers who gave the greatest gift we ever received—a good education—still trying to pass on the same gift to succeeding generations. I care for our OFWs, famed for their skill, integrity, and untiring labor, who send home their pay as the only way to touch loved ones so far away. [Applause] Nagpupugay ako ngayon sa kanilang mga karaniwang Pilipino. [Applause]"
"17","My critics say this is fiction, along with other facts and figures I cite today. I call it heroism though they don’t need our praise. Each is already a hero to those who matter most—their families."
"18","I said this is a global crisis where everyone is a victim. But only few can afford to avoid, or pay to delay, the worst effects."
"19","Many more have nothing to protect them from the immediate blunt force trauma of the global crisis. Tulad ninyo, nag-aalala ako para sa kanila. Ito ang mga taong bayan na dapat samahan natin. Not only because of their sacrifices for our country but because they are our countrymen. [Applause]"
"20","How do we solve these many complex challenges?"
"21","Sa kanilang kalagayan, the answer must be special care and attention in this great hour of need."
"22","First, we must have a targeted strategy with a set of precise prescriptions to ease the price challenges we are facing."
"23","Second, food self-sufficiency; less energy dependence; greater self-reliance in our attitude as a people and in our posture as a nation. [Applause]"
"24","Third, short-term relief cannot be at the expense of long-term reforms. [Applause] These reforms will benefit not just the next generation of Filipinos, but the next President as well. [Applause]"
"25","Napakahalaga ang value-added tax [VAT] sa pagharap sa mga hamong ito."
"26","Itong programa ang sagot sa mga problemang namana natin. [Applause]"
"27","Una, mabawasan ang ating mga utang and shore up our fiscal independence. [Applause]"
"28","Pangalawa, higit na pamumuhunan para mamamayan at imprastraktura. [Applause]"
"29","Pangatlo, sapat na pondo para sa mga programang pangmasa. [Applause]"
"30","Thus, the infrastructure links programmed for the our poorest provinces like Northern Samar: Lao-ang-Lapinig-Arteche, right now ay maputik; San Isidro-Lope de Vega; the rehabilitation of Maharlika in Samar. [Applause]"
"31","Take VAT away and you and I abdicate our responsibility as leaders and pull the rug from under our present and future progress, which may be compromised by the global crisis."
"32","Lalong lumakas ang tiwala ng mga investor dahil sa VAT. Mula P56.50 kada dolyar, lumakas ang piso hanggang P40.20 bago bumalik sa P44 dahil sa mga pabigat ng pangdaigdigang ekonomiya. Kung alisin ang VAT, hihina ang kumpiyansa ng negosyo, lalong tataas ang interes, lalong bababa ang piso, lalong mamahal ang bilihin."
