"","x"
"1","“The President’s Report to the Nation”"
"2","Itinakda natin ang araw na ito para sa pagdiriwang, sa halip na Linggo, hindi dahil ibig nating mapaaga ang ikatlong anibersaryo ng proklamasyon ng Bagong Lipunan sa ating bayan, kundi dahil ibig nating maiharap sa ating sambayanan ang mahahalagang suliraning hindi na dapat pang ipaghintay sa ika-21 ng buwang ito."
"3","Anibersaryo man o hindi ang araw na ito, oras na upang lingunin ng sambayanang Pilipino ang mga nakaraang taon, upang suriin at pakialaman ang tunay na katayuan ng ating bansa."
"4","Makaraan pa ang dalawang araw, papasok na tayo sa ika-apat na taon ng Bagong Lipunan. Sa susunod na mga araw at buwan, matatayo tayong muli sa isang lalong maselan na pagsubok, at kakailanganin nating lahat ang sukdulang tibay at tatag ng loob, alang-alang sa ating Bagong Lipunan."
"5","Ngunit bago tayo magtangka na akaying muli ang ating sambayanan sa mga susunod na yugto sa ating pakikihamok sa kapalaran, kailangang sagutin ang ilang katanungan."
"6","With or without the anniversary that we mark today, the time has come once more for the Filipino people to look across the years and assess the state of the nation."
"7","Two days from today, we enter the fourth year of the New Society, our program of national transformation. This is bound to be a decisive phase of that program, one that will require the utmost resiliency and fortitude of both our government and our people."
"8","But before we can even begin to think of leading our people into a new period of that struggle, we must answer some questions."
"9","In less than four months, we shall pass into the second half of this turbulent decade, and already we know that this will be an even more critical period for the world at large."
"10","This, too, will be crucial for us."
"11","For, as with the other nations of the world, none of our problems are completely behind us. They have been transmuted, but not definitively solved, and they will continue to be with us, in various forms and degrees."
"12","In three years, we have demonstrated a capacity for recovery and growth, but as in other countries the gains—however dramatic—have not brought us complete fulfillment."
"13","We are no longer the paralyzed nation, of course, which we were at the start of our program in September 1972, but still, if we ask ourselves frankly, have we become the nation we wanted to be, after breaking with our past?"
"14","We know that our goals must extend beyond mere recovery, but we also know that crisis awaits each step we take."
"15","The nature of the problems we face—whether they originate from within our society or from conditions abroad continues to challenge fundamental assumptions in politics, in the economy, and in society itself."
"16","The world has not known so searching a challenge since the crisis years of the Depression and the Second World War. And no nations are so severely challenged as the nations of the Third World, which like us must take up the burden of modernization under conditions of tension and flux throughout the world."
"17","In our own country, the accumulated experience of the past three years promises more challenges rather than relief. For once we set our program of reform in motion, there is no alternative but to prosecute it to its legitimate end. It would be dangerous for us to ride the crest of illusion or false hopes."
"18","We are wont to hear that we, the Philippines, are a nation that has made a dramatic comeback from disaster, and begun a strong surge towards growth. Even the most critical foreign experts say so."
"19","The national economy, for many years a deficit spender of resources, exhibits both vigor and resiliency in the face of crisis. Economic activity of all kinds is never more pronounced than at any other time in our history. International investors, and no less than the World Bank and the International Monetary Fund, continue to manifest their faith in our economy."
"20","There is order where there used to be none; anarchy is only a memory of the past; and growth and changes seem to be everywhere around us."
"21","And when we look at the individual citizen, there is reason to feel that his rights and liberties are on the whole much better secured today than they were before the intervention of constitutional authoritarianism."
"22","Let us look at the farmers: the emancipation of the Filipino farmer from economic and political bondage. This has been the all-consuming obsession of government since that fateful day of September 21, 1972, when it began the arduous task of bringing about lasting reforms in the society."
"23","Comprising 70% of the population and more than half of the labor force, Filipino farmers have been, and will continue to be, the main beneficiaries of the major government programs launched over the first 1,000 days of the New Society."
"24","For centuries, whether under the Spaniards or Americans, or the politicians and feudal tyrants of the old order, the Filipino farmer was a virtual slave, bereft of self-respect and dignity."
"25","He was bound to the soil, tilling land that belonged to another man, taxed of both goods and money, deprived of an education, refused access to credit and exploited by unscrupulous moneylenders, manipulated by politicians and landlords, isolated from modern technology."
"26","Today, however, the farmer has rediscovered himself and has attained for himself a new identity."
"27","Where before he was an abject tenant, today he is a proud landowner."
"28","Where before he had to beg his landlord or a usurer for a loan in order to plant and send his children to school or feed his family, today he has a far-flung system of rural credit eagerly providing his financing needs at low interest rates."
"29","Where before prices for his produce used to plunge down at harvest time because of the unbridled forces of supply and demand under an unbridled free-enterprise system, today he has a well-funded program of price support that guarantees profitable farm gate prices for his major agricultural crops."
"30","Where before he was left alone to contend with the high cost of production inputs, today he is insulated from the impact of escalating world prices through government subsidies of key production inputs, such as fertilizer and animal feeds."
"31","Where before he used to rely solely on antiquated farming methods, today he can count on an army of over 6,000 farm management technicians and rural broadcasters who use every technique known to media for instruction and guidance on modem agricultural technology."
"32","Where before he used to contend with market forces which sapped the profits from his produce, he can now depend on a nationwide network of “samahang nayon” that gives him greater bargaining power, and assures him of a fair price for his products."
"33","Today, we find unprecedented prosperity in the rural areas, an obvious upsurge in the purchasing power of the Filipino farmer, and a general air of confidence and optimism in the countryside. Paradoxically, martial law, the instrument of the colonizer to preserve the status quo, has brought true freedom to the countryside for the first time in centuries."
"34","In the first 1,000 days of the New Society, therefore, we have succeeded—through deliberate policy and action—in helping the Filipino farmer rediscover himself, attain a new dignity, and secure true freedom."
