"","x"
"1","“Let’s Seize the Moment!” "
"2","Mr. Senate President; Mr. Speaker of the House; ladies and gentlemen of Congress; Your Excellencies; special guests; mahal na kababayan:"
"3","Noong isang taon, ang ating mga kababayan ay naghahangad ng panibagong pagsisimula. Ngayon, tapatan nating masasabi na nabigyan natin ang ating bansa ng bagong pag-asa."
"4","A year ago, our people asked of us a new beginning."
"5","Today, we can truly claim we have given our country that fresh start."
"6","We have arrested the decline—of the economy and the national spirit—which had so demoralized our people."
"7","We are concluding a just and honorable peace with the military rebels, the insurgents, and the southern secessionists."
"8","A new spirit of cooperation existing between Congress and the presidency has avoided the gridlock which obstructed policy making in previous administrations. And this is as it should be. Executive and legislature are not meant to function in confrontation with each other."
"9","Our investors and businessmen can almost take political stability for granted once again. The stock market index has reached a record high."
"10","Analyzing our situation in April, the World Bank noted:"
"11","The Philippines now faces its best prospect for sustained development in almost two decades. A window of opportunity exists for the new government."
"12","This optimism about our prospects is not unusual. It is shared by many—here and abroad. But “a window of opportunity” is only that. A momentary opening—which can close sooner than we expect."
"13","Ladies and gentlemen of Congress:"
"14","I invite you to join me in taking advantage of this opportunity and to seize the decisive moment together."
"15","This is the challenge to leadership. Everywhere the old politics is in disfavor—because it has failed to respond to the transformations taking place in the world."
"16","We must learn new ways of looking at the world. We need new answers to our problems. In this spirit, we offer a strategic framework for Philippine development."
"17","Compare the Philippine State with the East Asian dragons. The East Asian States are able to assert their countries’ strategic interests because they are relatively free from the influence of pressure groups. The Philippine State, in the past, had been unable to act consistently in the national interest because it could not resist the importunings of oligarchic groups. And the economy had been governed largely by politics instead of markets."
"18","Because of this experience, we now know that development cannot take place in our country unless we put our house in order. And this—to me—means accomplishing three things: One, restoring political and civic stability. Two, opening the economy: dismantling monopolies and cartels injurious to the public interest, and leveling the playing field of enterprise. Three, addressing the problem of corruption and criminality."
"19","These three tasks—once completed—shall secure the environment for self-sustaining growth—and enable the government to positively and consistently act in the national interest."
"20","Our strategic framework to establish effective government—of putting our house in order—so that our drive for development can begin—we call “Philippines 2000.”"
"21","“Philippines 2000” has two components."
"22","The first is the Medium-Term Philippine Development Plan for 1993-1998 [MTPDP 93-98]. Guided by the principles of people empowerment and global excellence, it proposes specific policies and programs to stimulate economic activity and mobilize the entrepreneurial spirit in ordinary Filipinos. I strongly urge your approval of this medium-term Philippine development plan."
"23","The second component of “Philippines 2000” addresses the larger environment—the political, social, and cultural climate—in which economic growth must take place."
"24","The crucial question is: Can we reform an undemocratic economy by using a democratic political framework?"
"25","Authoritarianism eased the way to economic power and higher living standards for our East Asian neighbors. In contrast, we are working to reconcile our democratic politics with an oligarchic economy left over from the colonial period—not by changing the political system, but by democratizing the economy."
"26","The time for authoritarianism has passed—in our country and in the world. Instead of the discipline of command, we must invoke the self-discipline of civic responsibility."
"27","We Filipinos have always accepted that people with more are obliged to help people with less—in the name of a common, compassionate humanity. This traditional moral code we shall make a principle of public policy."
"28","The few who have can never be secure in their possessions for as long as they live among so many who have not. Let me now take up our most urgent sectoral concerns one by one."
