"","x"
"1","“National Discipline: The Key to our Future”"
"2","Permit me, then, to begin this report by thanking our people for their mandate, and congratulating all those who were elected to office in the last elections."
"3","But the honor of this mandate pales beside its gravity. I interpret this mandate not just as a call to continue in office, but a summons to supreme self-exertion in the service of the nation."
"4","Our country summons us all to exert ourselves to the limit of our God-given powers, endurance, and wisdom to raise the nation to a bold, new future."
"5","The situation in the world, as well as that in the Philippines, is marked by sweeping change."
"6","We cannot move forward within the grooves of old habits and outmoded institutions. Progress demands that the barriers of centuries be broken."
"7","But the pursuit of development and the breaking of barriers to progress require such energy and endurance as may strain our resources, both of the public and the private sectors. Thus, the balance of payments problem is now the most immediate and urgent challenge facing our country."
"8","But from an intimate knowledge of our problems, I know and I say that there is no reason to be afraid of the dollar gap. It can and will be bridged in a short time. We should be more concerned about the moral gap—a gap in our self-confidence and our strength of purpose as a nation, a gap that threatens all classes of people in all stations of life."
"9","We must turn these difficulties and problems into opportunities to strengthen our moral fiber as a people, to temper our will and character, to imbue the nation with a permanent sense of discipline so necessary to the achievement of progress."
"10","Today, we must offer the alternative to anarchy—a constructive nationalism, not a vituperative chauvinism."
"11","There is ferment and a desire for change. Many cannot describe, nor do they know, the change that they aspire for, but the instinct is there; let the leaders in government help define and outline it for them."
"12","We must offer reforms in the electoral system, abolish social iniquity, work out a government machinery reorganization, provide a modernized penal system, discard feudalism and at the same time oppose fascism."
"13","We must be understanding, even with those who refuse to understand us."
"14","For when we establish priorities in development, many will question their lack of standing in such a plan of development as well as in the listing of expenditures. Sometimes we must suffer in silence, for they will question not only our acts but also our motives as well. Silent we will be, aware as we are that ultimately—as the expression goes—the truth will out, as it always will. These are hazards of authority and leadership. This is the measure of responsibility. You and I must patiently explain."
"15","Government today is often charged with being insensitive, likened to a corporation without a soul. We must demonstrate that government does have the capacity for compassion—for the weak, the underprivileged, and the destitute. All the agencies of the government must respond to the needs and problems of the common people."
"16","Our confidence in the future rests on a solid base, namely, our present achievements. The past four years have shown that the spirit of the Filipino people, properly challenged, will more than match the dimensions of the challenges they have to confront."
"17","The only condition is that the nation discipline itself towards its goals. I am not speaking of discipline imposed by a tyrannical government, but of self-discipline in the active exercise of freedom."
"18","Discipline is our salvation as a nation and the key to our future greatness."
