"","x"
"1","“New Filipinism: The Turning Point”"
"2","Twelve months ago, I rendered to you and to the people an account of how we began to translate the Filipino dream of national greatness into reality. The central theme of that report was the achieving spirit that animated the vigorous partnership between the government and the people. Today, I ask you to witness with me the metamorphosis which the new achieving spirit of the Filipino people has brought about."
"3","This transformation is essentially spiritual."
"4","It is a prophecy come true."
"5","In the 1890s Rizal saw the rise of “new men” and a “new social order” within a century. In 1968, the New Filipino and the New Filipinism came into being."
"6","I ask you to ponder this vital new force in the life of the Filipino people in relation to the pattern of national development since the 1900s."
"7","The ancient character of our economic life persisted even beyond the grant of Philippine independence in 1946, attesting to the feeble and unsuccessful efforts to change what has always been the root of our economic maladies—the inequitable distribution of land. Excessive land holdings concentrated in a few families, on the one hand, and conditions of want and tenancy approaching slavery, on the other, comprised an economic structure that had to be, but never was, altered. This, together with the colonial status of our economy from 1900, consigned the Filipino people to a remarkably long experience of economic backwardness."
"8","This condition is summarized by an American observer, who said: “…as it gained political independence, the Philippine Republic was still far from possessing economic sovereignty. The United States, on the other hand, retained some of the economic and military advantages of a colonial power while it was relieved of the burden of administration and of direct responsibility for Philippine welfare.”"
"9","In the postindependence years, there were no important changes. Although the requirements of an expanding economy were appreciated after the wholesale pillage and devastation of the last war, the nation continued to make little progress away from its old patterns of land tenure, production, and foreign trade. The inertia of dependence may be best dramatized by the steadily increasing importation of rice which the Philippine government had to make from year to year, culminating in the unbelievable P264-million purchase in 1965."
"10","Industrial growth was at first limited to the advantage of alien interests that were determined to keep the Philippines within the bounds of a limited agricultural economy; and then subsequently set on an erratic course by half-hearted efforts. By 1965, some industrial activity had been induced; but because of the catastrophic mismanagement of the national economy, 1,400 corporations were dead or dying or in dire need of massive government aid before the year was over."
"11","The crime and disorder of the postwar years aggravated these conditions. These words of another American observer describe the chaos of the liberation years: “At the end of the war it was difficult to restore law and order and to preserve and foster democratic processes. Manuel Quezon was missed. . . . The primordial struggle for existence gave a degree of lawlessness and criminality to practically every province and section of the country. Robberies, kidnappings, and daylight assaults on buses, trucks and trains were almost daily occurrences. The traditional respect for individual freedom and human rights was insufficient to counteract the petty criminals, the bandits, and the Communist-led groups who debauched the cities and disturbed the countryside.”"
"12","The inefficiency and the immorality in government are partly due to this defective political system. What is more, this political system has obstructed the democratic process. The system also has ironically been the chief obstacle to our progress. The sad truth is that we have kept our faith in democracy despite the inadequacies of our democratic institutions."
"13","Excessive partisan politics is responsible for the abuse of democratic principles in this country, and for the consequent inability of certain sectors of society to apply themselves with dedication and vigor to the advancement of the nation. There is an urgent need to curb the selfish and callous tendency of some of our leading citizens to engage in political activity at the expense of the public good."
"14","It is for the purpose of answering this need that Republic Act 4880 was passed by Congress and approved by me on June 17, 1967. The provisions of this law are clear: “It shall be unlawful for any political party, political committee, or political group to nominate candidates for any elective public office voted for at large earlier than one hundred and fifty days immediately preceding an election, and for any other elective public office earlier than ninety days immediately preceding an election.”"
"15","And again: “It is unlawful for any person whether or not a voter or candidate, or for any group or association of persons, whether or not a political party or political committee, to engage in an election campaign or partisan political activity except during the period of one hundred twenty days immediately preceding an election involving a public office voted for at large and ninety days immediately preceding an election for any other elective public office.”"
"16","It is my hope, and undoubtedly yours too, that this lawful and necessary injunction is obeyed, this year and every election year hereafter, so that we may with the resulting harmony and cooperation, more speedily perform the common responsibility of nation-building."
"17","It is fortunate that the nation will, just two years from now, call a constitutional convention. I leave it to the delegates of that convention to evolve a truly democratic system, one which will not merely bend, as our system does today, to the wishes of a traditional elite and perpetuate the status quo. Democratic institutions must be instruments of national advancement. Democracy must symbolize change."
"18","In short, our goal is nothing less than the complete transformation of our social, economic, and political milieu, the reorientation of our people’s idea of themselves and of their capability, and the complete change of the assumptions that govern our relations with other nations."
"19","This is the New Filipinism. This is the turning point."
"20","This emphasis made its greatest impact on infrastructure development, food production, foreign relations, government reforms, labor and social services, trade and industry, and community development."
"21","In specific terms, how did we implement the national desire for basic and far-reaching economic and social change?"
"22","All these developments have been set in motion because of this administration’s deep and abiding concern for the welfare of the great mass of the downtrodden and underprivileged. We must as quickly as possible rescue millions of our countrymen from the poverty and deprivation in which they have lived all their lives."
"23","This is the immediate aim of all our endeavors."
"24","The thrust to full development is unmistakable in every field. I sincerely believe that, with the continuing support of our people, the breakthroughs and innovations of the past year will, before long, establish a momentum which neither future negligence nor design can easily diminish or destroy."
"25","Many more aims, however, remain to be fulfilled by that partnership with government which, imbued with the New Filipinism, has brought us to this historic turning point. Our production in agriculture and industry must continue to expand. We must not forfeit the new vitality in the nation’s life by another lapse into in action and indifference. We must further increase the national rate of growth."
"26","On this score, our country had a significant year. Prices, as reflected in the Consumer Price Index for Manila, were literally held to a standstill. The CPI Manila level for 1968 was exactly equal to that of 1967. Consumer Price Index for the whole Philippines showed the same stability, registering only a 0.7% increase over 1967."
"27","According to the Economic Monitor, December 23, 1968: “In terms of prices, this year might yet rum out to be the most stable. For one, the consumer price index for Manila has not shown any appreciable change since January of the current year, increasing from 152.7 to only 154.2 last month or a minuscule 1.5 percentage points rise registered for the same period last year. “"
