"","x"
"1","MR. PRESIDENT, MR. SPEAKER, MEMBERS OF THE CONGRESS:"
"2","In the exercise of their sovereign prerogatives, our people have entrusted to us the responsibility of administering the affairs of the nation. As Congressopens today the legislative phase of our joint trusteeship, I have come to counsel with you in accordance with the Constitution’s mandate. I am confidentthat, guided by the Infinite Wisdom, we shall prove equal to the people’s expectations, and live up to our solemn commitments to them."
"3","Fortunately, we have succeeded to an administration that was also our own because most of us were part of it and because, under the concept of partyresponsibility, its policies were formulated and implemented by us. Consequently, we have to continue these policies; with some addition, we must continuebuilding up the nation, spurred by the dynamics of progressive national growth."
"4","The Administration before us suffered a rude interruption with the tragic death of my illustrious predecessor, Ramon Magsaysay. His loss is irreparable.The Philippines and the rest of the free world sorely miss him. We, however, find consolation in the fact that his spirit abides with us to inspire us tonew heights of achievement."
"5","You are all aware that I assumed the presidency in the wake of a shocking national tragedy and at a time of intense political activity, leading to theNovember elections. Accepting the will of the Divine Providence and the mandate of the Constitution, I occupied the office of President for nine andone-half months to complete the term of the late Chief Executive and carry on his work to the best of my ability and capacity."
"6","I shall therefore, endeavour to report to Congress the state of the nation as I found it at the end of the Magsaysay term, covering achievements of fouryears since 1954. Having done this, I shall indicate the pressing problems facing the Republic and recommend to you what I believe to be their solutions."
"7","During the last four years of Nacionalista Administration, the climate of distrust approaching despair that had pervaded the nation was replaced by areceiving faith in the Government and a growing confidence in the future of the Republic. The masses of our people came to enjoy the fruits of a determinedeffort to improve their lot. Our people were reaping the benefits of schools and sanitation, expanded irrigation systems, increased credit facilities, andimproved transportation. Our businessmen and industrialists were reacting with understanding to the coordinated efforts to promote the general economicdevelopment. The entire nation faced the future with increasing hope and confidence."
"8","In completing the term of my predecessor, I had the advantage of the tremendous momentum he had generated in the promotion of the common welfare. During1954-1957, unprecedented advances were made in almost all sectors of national progress. I myself did not hesitate to take new measures and introduce newpolicies whenever they were advisable and necessary. Such measures and policies were intended to check untoward developments mainly caused by the forces ofnature or by international events beyond our control and also by our own transgressions against the eternal verities and the laws of measure andproportion."
"9","RELATIONS WITH OTHER NATIONS"
"10","National security is anchored on our own internal strength as well as on our cooperation with the United Nations, buttressed by regional arrangements likethe SEATO and by our special alliance of mutual defense with the United States."
